Rank,Name,Birth_Count,Kana
1,愛,3878,アイ
2,彩,3457,サイ
3,美穂,2932,ビスイ
4,愛美,2883,アイビ
5,麻衣,2700,マイ
6,舞,2669,ブ
7,成美,2571,セイビ
8,沙織,2462,サショク
9,麻美,2458,マビ
10,恵,2403,ケイ
11,彩香,2291,サイコウ
12,瞳,2206,ドウ
13,あゆみ,2089,アユミ
14,香織,2065,コウショク
15,綾香,1954,リンコウ
16,千尋,1943,センジン
17,美里,1890,ビリ
18,未来,1881,ミライ
19,明日香,1870,メイニチコウ
20,茜,1784,セン
21,由佳,1747,ユカ
22,美香,1699,ビコウ
23,仁美,1684,ヒトミ
24,友美,1644,ユウビ
25,智美,1616,トモミ
26,彩乃,1449,サイナイ
27,恵美,1411,ケイビ
28,唯,1387,ユイ
29,美紀,1368,ミキ
30,静香,1367,セイコウ
31,めぐみ,1365,メグミ
32,詩織,1319,シショク
33,美咲,1253,ビショウ
34,綾,1226,リン
35,里奈,1197,リナ
36,美樹,1183,ビジュ
37,裕子,1172,ユウコ
38,早紀,1166,サキ
39,裕美,1164,ヒロミ
40,智子,1155,トモコ
41,理恵,1153,リケイ
42,理沙,1133,リサ
43,佳奈,1124,カナ
44,祥子,1115,ショウシ
45,綾乃,1111,リンナイ
46,梓,1095,シ
47,ひとみ,1080,ヒトミ
48,陽子,1075,ヨウシ
49,桃子,1072,トウシ
50,真美,1065,シンビ
51,優子,1059,ユウシ
52,翔子,1058,ショウシ
53,由貴,1044,ユキ
54,里美,993,リビ
55,久美子,974,キュウビシ
56,美幸,973,ビコウ
57,美佳,958,ミカ
58,友香,956,ユウコウ
59,亜美,934,アビ
60,美希,934,ビキ
61,真奈美,932,シンナビ
62,歩,930,ホ
63,萌,920,ホウ
64,真衣,918,シンイ
65,美帆,916,ビハン
66,みなみ,915,ミナミ
67,晴香,883,セイコウ
68,杏奈,880,キョウナ
69,望,864,ボウ
70,あずさ,853,アズサ
71,春香,845,シュンコウ
72,知美,834,チビ
73,彩加,824,サイカ
74,奈津美,819,ナシンビ
75,優,819,ユウ
76,麻衣子,817,マイシ
77,かおり,800,カオリ
78,遥,782,ヨウ
79,恵理,778,ケイリ
80,春菜,778,シュンサイ
81,由香,766,ユコウ
82,葵,761,キ
83,有希,758,ユウキ
84,真由美,757,シンユビ
85,愛子,755,アイシ
86,薫,753,クン
87,歩美,753,ホビ
88,綾子,740,リンシ
89,菜摘,736,サイテキ
90,有紀,733,ユキ
91,奈々,732,ナナ
92,加奈,723,カナ
93,絵美,720,エミ
94,まどか,701,マドカ
95,亜由美,699,アユビ
96,友紀,694,トモジ
97,友里,692,ユウリ
98,聡美,688,ソウビ
99,奈央,688,ナオ
100,ゆかり,685,ユカリ
101,真実,679,シンジツ
102,夏美,674,カビ
103,彩夏,672,サイカ
104,あかね,669,アカネ
105,美沙,660,ビサ
106,優美,659,ユウビ
107,麻里,653,マリ
108,梨沙,653,リサ
109,彩花,647,サイカ
110,千晶,631,チセイ
111,加奈子,617,カナシ
112,千明,617,センメイ
113,真理,615,シンリ
114,由衣,615,ユイ
115,美奈,610,ビナ
116,祐子,610,ユウシ
117,有香,606,ユウコウ
118,奈美,601,ナビ
119,沙紀,589,サキ
120,由美,586,ユビ
121,真理子,580,シンリシ
122,由紀,577,ユキ
123,彩子,576,サイシ
124,はるか,575,ハルカ
125,麻未,571,マミ
126,朋子,570,ホウシ
127,愛実,568,アイジツ
128,咲,566,ショウ
129,優香,565,ユウコウ
130,さやか,563,サヤカ
131,知佳,554,チカ
132,美保,553,ビホ
133,文香,552,ブンコウ
134,涼子,551,リョウシ
135,絵里,550,エミ
136,渚,549,ショ
137,朋美,549,ホウビ
138,香,547,コウ
139,なつみ,542,ナツミ
140,典子,541,テンシ
141,明子,541,メイシ
142,美由紀,539,ミユキ
143,真弓,535,シンキュウ
144,恵子,534,ケイシ
145,幸子,534,コウシ
146,彩華,529,サイカ
147,幸恵,525,コウケイ
148,志保,523,シホ
149,瑞穂,521,ズイスイ
150,愛里,517,アイリ
151,舞子,517,ブシ
152,美和,514,ビワ
153,尚子,512,ショウシ
154,直美,511,チョクビ
155,理紗,511,リサ
156,悠,509,ユウ
157,真希,508,シンキ
158,友里恵,508,ユウリケイ
159,希,502,キ
160,玲奈,492,レイナ
161,優希,490,ユウキ
162,藍,490,ラン
