Rank,Name,Birth_Count,Kana
1,翔太,4639,しょうた
2,拓也,4381,たくや
3,健太,4095,けんた
4,翔,2986,しょう
5,翔平,2919,しょうへい
6,大樹,2714,たいじゅ
7,大輔,2714,だいすけ
8,達也,2460,たつや
9,亮,2268,りょう
10,大地,2264,だいち
11,雄太,2153,ゆうた
12,直樹,1973,なおき
13,翼,1970,つばさ
14,裕太,1863,ゆうた
15,亮太,1845,りょうた
16,和也,1809,かずや
17,直人,1746,なおと
18,恭平,1689,きょうへい
19,健太郎,1636,けんたろう
20,大介,1626,だいすけ
21,諒,1607,りょう
22,康平,1466,こうへい
23,裕也,1462,ゆうや
24,洋平,1433,ようへい
25,誠,1422,まこと
26,卓也,1406,たくや
27,雄大,1383,ゆうだい
28,祐太,1345,ゆうた
29,優,1278,ゆう
30,光,1256,ひかる
31,大輝,1210,だいき
32,裕介,1210,ゆうすけ
33,涼,1181,りょう
34,修平,1141,しゅうへい
35,健,1133,けん
36,直也,1102,なおや
37,大貴,1096,だいき
38,徹,1092,とおる
39,祐介,1078,ゆうすけ
40,一樹,1076,かずき
41,裕貴,1067,ゆうき
42,良太,1054,りょうた
43,匠,1047,たくみ
44,遼,1014,りょう
45,祐樹,1011,ゆうき
46,一成,1006,いっせい
47,貴大,1004,たかひろ
48,駿,1002,しゅん
49,陽平,992,ようへい
50,智也,970,ともや
51,哲也,968,てつや
52,和樹,968,かずき
53,啓太,966,けいた
54,亮介,954,りょうすけ
55,裕樹,946,ひろき
56,航,937,こう
57,聡,931,さとし
58,勇太,928,ゆうた
59,淳,923,じゅん
60,剛,904,ごう
61,隼人,903,はやと
62,拓哉,875,たくや
63,貴之,857,たかゆき
64,陽介,843,ようすけ
65,渉,839,わたる
66,大,837,だい
67,一輝,821,いっき
68,浩平,809,こうへい
69,優太,804,ゆうた
70,悠太,801,ゆうた
71,真也,798,しんや
72,雄介,785,ゆうすけ
73,慎也,780,しんや
74,悠,774,ゆう
75,俊介,741,しゅんすけ
76,純平,719,じゅんぺい
77,将太,705,しょうた
78,勇人,691,はやと
79,祐輔,687,ゆうすけ
80,司,668,つかさ
81,純,665,じゅん
82,佑太,663,ゆうた
83,祥平,661,しょうへい
84,良平,651,りょうへい
85,佑介,649,ゆうすけ
86,亮平,646,りょうへい
87,学,641,がく
88,潤,636,じゅん
89,竜也,634,たつや
90,佑樹,627,ゆうき
91,拓,618,たく
92,晃,617,こう
93,祐貴,614,ゆうき
94,祐也,609,ゆうや
95,太一,603,たいち
96,雅人,594,まさと
97,和成,594,かずなり
98,周平,592,しゅうへい
99,悟,579,さとる
100,涼太,579,りょうた
101,勇樹,577,ゆうき
102,慎太郎,570,しんたろう
103,弘樹,559,ひろき
104,直哉,559,なおや
105,圭佑,558,けいすけ
106,健人,558,けんと
107,啓介,555,けいすけ
108,俊,552,しゅん
109,真,546,しん
110,一平,538,いっぺい
111,悠介,535,ゆうすけ
112,裕之,534,ひろゆき
113,翔太郎,532,しょうたろう
114,圭祐,531,けいすけ
115,純一,524,じゅんいち
116,貴史,514,たかし
117,卓,510,たく
118,雄也,510,ゆうや
119,慧,507,けい
120,智之,498,ともゆき
121,裕,496,ひろし
122,貴裕,495,たかひろ
123,佳祐,491,けいすけ
124,太郎,487,たろう
125,拓真,487,たくま
126,晃平,484,こうへい
127,拓弥,481,たくや
128,巧,476,たくみ
129,良,475,りょう
130,智史,474,さとし
131,良介,473,りょうすけ
132,航平,470,こうへい
133,健一,469,けんいち
134,耕平,467,こうへい
135,真人,464,まさと
136,誠也,462,せいや
137,輝,461,ひかる
138,真吾,461,しんご
139,豊,459,ゆたか
140,一真,456,かずま
141,将,455,まさる
142,将大,454,しょうた
143,宏樹,453,ひろき
144,幸平,442,こうへい
145,聖也,441,せいや
146,裕一,441,ゆういち
147,俊輔,439,しゅんすけ
148,洋介,438,ようすけ
149,翔吾,436,しょうご
150,圭介,435,けいすけ
151,一馬,433,かずま
152,仁,433,じん
153,雄一,432,ゆういち
154,雄貴,431,ゆうき
155,拓郎,429,たろう
156,優也,419,ゆうや
157,優樹,418,ゆうき
158,雅也,417,まさや
159,達哉,417,たつや
160,智,410,さとし
161,元,408,はじめ
162,卓哉,407,たくや
163,元気,405,げんき
164,大祐,405,だいすけ
165,大志,401,たいし
166,悠平,400,ゆうへい
167,勇輝,399,ゆうき
168,拓馬,397,たくま
169,隆太,397,りゅうた
170,賢,394,まさる
171,圭,393,けい
172,将平,392,しょうへい
173,翔一,391,しょういち
174,勇介,390,ゆうすけ
175,将司,386,しょうじ
176,広大,385,こうだい
177,正樹,383,まさき
178,隼,383,しゅん
179,光平,381,こうへい
180,和希,380,かずき
181,祥太,379,しょうた
182,龍太郎,377,りゅうたろう
183,和輝,376,かずき
184,崇,371,たかし
185,和真,370,かずま
186,翔大,370,しょうた
187,優介,366,ゆうすけ
188,康太,365,こうた
189,亮輔,364,りょうすけ
190,俊樹,363,としき
191,歩,363,あゆむ
192,聖,362,さとし
193,智哉,360,ともや
194,和哉,360,かずや
195,裕紀,357,ひろき
196,竜太,356,りゅうた
197,慎吾,354,しんご
198,秀平,353,しゅうへい
199,純也,352,じゅんや
200,雄平,352,ゆうへい
201,良輔,351,りょうすけ
202,健吾,350,けんご
203,駿介,343,しゅんすけ
204,敬太,341,けいた
205,哲平,341,てっぺい
206,拓磨,340,たくま
207,雄基,340,ゆうき
208,正人,339,まさと
209,健二,337,けんじ
210,圭太,336,けいた
211,勇気,335,ゆうき
212,拓巳,334,たくみ
213,洋輔,334,ようすけ
214,祐輝,333,ゆうき
215,龍之介,333,りゅうのすけ
216,貴弘,332,たかひろ
217,智大,330,ともひろ
218,峻,329,しゅん
219,将人,329,まさと
220,直輝,329,なおき
221,一貴,328,いつき
222,拓実,328,たくみ
223,明,328,あきら
224,広樹,324,ひろき
225,直紀,321,なおき
226,貴文,319,たかふみ
227,健司,319,けんじ
228,友樹,319,ともき
229,拓人,318,たくと
230,大智,317,だいち
231,祐希,317,ゆうき
232,和馬,317,かずま
233,将也,315,まさや
234,亘,314,わたる
235,薫,313,かおる
236,友也,313,ともや
237,大和,312,やまと
238,裕太郎,311,ゆうたろう
239,雅之,310,まさゆき
240,勇貴,310,ゆうき
241,敦,309,あつし
242,友哉,309,ともや
243,恵太,308,けいた
244,慶太,307,けいた
245,啓,306,けい
246,勝也,305,かつや
247,真一,303,しんいち
248,亨,296,とおる
249,龍,296,りゅう
250,寛,295,ひろし
251,健介,295,けんすけ
252,裕平,295,ゆうへい
253,和貴,295,かずき
254,篤,293,あつし
255,樹,292,いつき
256,祐一,292,ゆういち
257,賢太,290,けんた
258,賢人,289,けんと
259,涼平,287,りょうへい
260,康介,286,こうすけ
261,透,282,とおる
262,晃一,279,こういち
263,浩之,279,ひろゆき
264,充,279,みつる
265,秀樹,278,ひでき
266,隆,278,たかし
267,龍一,277,りゅういち
268,瞬,276,しゅん
269,亮佑,274,りょうすけ
270,貴志,272,たかし
271,寛之,270,ひろゆき
272,剛史,269,ごうし
273,彰,269,あきら
274,佑輔,269,ゆうすけ
275,貴博,267,たかひろ
276,祥,266,しょう
277,博之,266,ひろゆき
278,翔也,266,しょうや
279,一也,265,かずや
280,竜一,264,りゅういち
281,陽,263,はる
282,知也,261,ともや
283,仁志,259,ひとし
284,裕司,257,ゆうじ
285,将史,256,まさし
286,雅史,255,まさし
287,祐太郎,255,ゆうたろう
288,剛志,254,つよし
289,涼介,254,りょうすけ
290,豪,253,ごう
291,陸,253,りく
292,龍太,253,りゅうた
293,昇平,252,しょうへい
294,友貴,251,ともき
295,恭兵,250,きょうへい
296,哲,250,てつ
297,拓朗,249,たくろう
298,謙太,248,けんた
299,敦史,248,あつし
300,裕二,248,ゆうじ
301,俊也,247,しゅんや
302,新,247,あらた
303,拓矢,247,たくや
304,悠貴,246,ゆうき
305,雅俊,245,まさとし
306,将吾,243,しょうご
307,裕人,243,ゆうと
308,優人,241,ゆうと
309,和宏,240,かずひろ
310,淳平,237,じゅんぺい
311,正和,237,まさかず
312,遼平,237,りょうへい
313,真司,236,しんじ
314,慎平,235,しんぺい
315,直之,234,なおゆき
316,篤史,234,あつし
317,祐司,234,ゆうじ
318,惇,233,じゅん
319,優希,233,ゆうき
320,亮祐,233,りょうすけ
321,僚,232,りょう
322,孝平,231,こうへい
323,弘明,231,ひろあき
324,岳,230,がく
325,淳一,230,じゅんいち
326,尚也,230,なおや
327,省吾,230,しょうご
328,昌平,229,しょうへい
329,和幸,229,かずゆき
330,浩司,228,こうじ
331,勇,228,いさむ
332,遼太,225,りょうた
333,恭介,224,きょうすけ
334,賢一,224,けんいち
335,孝太,224,こうた
336,恵介,223,けいすけ
337,拓海,223,たくみ
338,達郎,223,たつろう
339,英樹,221,ひでき
340,奨,220,しょう
341,尚人,220,なおと
342,英明,218,ひであき
343,智彦,218,ともひこ
344,秀明,217,ひであき
345,慎,217,しん
346,望,217,のぞむ
347,洋,216,ひろし
348,陵,215,りょう
349,慶,214,けい
350,郁弥,213,いくや
351,一希,213,かずき
352,千尋,212,ちひろ
353,武,212,たけし
354,宏明,211,ひろあき
355,雄一郎,211,ゆういちろう
356,克也,210,かつや
357,勇也,210,ゆうや
358,裕哉,210,ゆうや
359,雄樹,210,ゆうき
360,力,210,りき
361,貴洋,209,たかひろ
362,謙,209,けん
363,幸太,209,こうた
364,優一,209,ゆういち
365,智弘,208,ともひろ
366,裕史,207,ひろし
367,淳也,206,じゅんや
368,智博,206,ともひろ
369,毅,205,たけし
370,公平,205,こうへい
371,隆史,205,たかし
372,崇史,204,たかし
373,祥吾,203,しょうご
374,徹也,203,てつや
375,陽一,203,よういち
376,怜,203,れい
377,和彦,203,かずひこ
378,圭吾,202,けいご
379,雄太郎,202,ゆうたろう
380,昭平,200,しょうへい
381,直,200,なお
382,淳史,199,あつし
383,彬,199,あきら
384,秀幸,198,ひでゆき
385,真太郎,198,しんたろう
386,祐紀,196,ゆうき
387,貴也,195,たかや
388,修,195,おさむ
389,勝,195,まさる
390,智裕,195,ともひろ
391,優輝,195,ゆうき
392,裕大,195,ゆうだい
393,将志,194,まさし
394,優貴,194,ゆうき
395,竜二,194,りゅうじ
396,翔馬,194,しょうま
397,貴紀,193,たかのり
398,祐二,193,ゆうじ
399,隆之,193,たかゆき
400,将之,192,まさゆき
401,稔,192,みのる
402,健志,191,けんじ
403,晃司,191,こうじ
404,諒太,191,りょうた
405,琢磨,190,たくま
406,直希,190,なおき
407,雄紀,190,ゆうき
408,直弥,189,なおや
409,悠人,189,ゆうと
410,竜平,189,りゅうへい
411,和紀,189,かずき
412,貴士,188,たかし
413,和弘,188,かずひろ
414,篤志,187,あつし
415,明宏,187,あきひろ
416,俊哉,186,としや
417,俊彦,186,としひこ
418,裕基,186,ゆうき
419,達矢,185,たつや
420,隆志,185,たかし
421,弘貴,184,ひろき
422,克哉,183,かつや
423,隆宏,183,たかひろ
424,光太郎,181,こうたろう
425,祐哉,180,ゆうや
426,諒平,180,りょうへい
427,貴寛,179,たかひろ
428,創,179,そう
429,卓弥,179,たくや
430,琢也,178,たくや
431,竜太郎,178,りゅうたろう
432,雄輝,177,ゆうき
433,孝,176,こう
434,孝明,176,こうめい
435,雄哉,176,ゆうや
436,潤一,175,じゅんいち
437,真悟,175,しんご
438,幸大,174,こうた
439,浩一,174,こういち
440,浩貴,174,こうき
441,勇希,174,ゆうき
442,遼太郎,174,りょうたろう
443,貴広,173,たかひろ
444,正太,173,しょうた
445,和人,173,かずと
446,一生,171,いっせい
447,元樹,171,もとき
448,聡志,171,さとし
449,優作,171,ゆうさく
450,裕輔,171,ゆうすけ
451,啓佑,170,けいすけ
452,尚樹,170,なおき
453,伸也,169,しんや
454,裕亮,169,ゆうすけ
455,拓己,168,たくみ
456,祐人,168,ゆうと
457,敬介,167,けいすけ
458,健太朗,166,けんたろう
459,隆介,166,りゅうすけ
460,貴明,165,たかあき
461,浩太,165,こうた
462,春樹,165,はるき
463,諭,165,さとし
464,佑紀,165,ゆうき
465,賢治,164,けんじ
466,賢太郎,164,けんたろう
467,大希,164,だいき
468,文哉,164,ふみや
469,海,163,かい
470,貴宏,163,たかひろ
471,暁,163,あきら
472,隼也,163,しゅんや
473,平,163,たいら
474,裕希,163,ゆうき
475,和弥,163,かずや
476,翔悟,163,しょうご
477,啓輔,162,けいすけ
478,宏幸,162,ひろゆき
479,秀和,162,ひでかず
480,達彦,162,たつひこ
481,未来,162,みらい
482,侑也,162,ゆうや
483,史也,161,ふみや
484,大悟,161,だいご
485,智紀,161,ともき
486,和明,161,かずあき
487,祐,160,ゆう
488,卓矢,159,たくや
489,智成,159,ともなり
490,竜太郎,178,りゅうたろう
491,隆一,158,りゅういち
492,浩史,157,ひろし
493,俊平,157,しゅんぺい
494,博貴,157,ひろき
495,昂,156,こう
496,雅貴,155,まさき
497,昌也,155,まさや
498,祐平,155,ゆうへい
499,和之,155,かずゆき
500,賢司,154,けんじ
501,晃大,154,こうだい
502,佑太郎,154,ゆうたろう
503,佑,153,ゆう
504,洸,153,こう
505,修一,152,しゅういち
506,大河,152,たいが
507,直幸,152,なおゆき
508,悠也,152,ゆうや
509,俊貴,151,としき
510,悠希,151,ゆうき
511,恭輔,150,きょうすけ
512,宏,150,ひろし
513,旭,149,あさひ
514,貴幸,149,たかゆき
515,大将,148,たいしょう
516,和久,148,かずひさ
517,康裕,147,やすひろ
518,裕輝,147,ゆうき
519,力也,147,りきや
520,ゆうき,146,ゆうき
521,寛人,146,ひろと
522,悠樹,146,ゆうき
523,竜,146,りゅう
524,愛,145,あい
525,郁也,145,いくや
526,宏紀,145,ひろき
527,幸司,145,こうじ
528,昂平,145,こうへい
529,浩二,145,こうじ
530,剛士,145,ごうし
531,成一,145,せいいち
532,孝幸,144,こうゆき
533,和磨,144,かずま
534,雅樹,143,まさき
535,健斗,143,けんと
536,浩樹,143,ひろき
537,晋,143,しん
538,夏樹,142,なつき
539,尚之,142,なおゆき
540,俊一,141,しゅんいち
541,信吾,141,しんご
542,佑哉,141,ゆうや
543,秀一,140,しゅういち
544,竜馬,140,りゅうま
545,京介,139,きょうすけ
546,圭亮,139,けいすけ
547,章,139,あきら
548,智洋,139,ともひろ
549,雄,139,ゆう
550,良祐,139,りょうすけ
551,幸太郎,138,こうたろう
552,彰太,138,しょうた
553,真之,138,まさゆき
554,朋也,138,ともや
555,脩平,138,しゅうへい
556,宏太,136,こうた
557,泰輔,136,たいすけ
558,哲史,136,てつし
559,佑亮,136,ゆうすけ
560,勇輔,136,ゆうすけ
561,友紀,136,ともき
562,雅大,135,まさひろ
563,基,135,もとい
564,宏和,135,ひろかず
565,弘幸,135,ひろゆき
566,智貴,135,ともき
567,文也,135,ふみや
568,開,134,かい
569,大喜,134,だいき
570,孝之,133,たかゆき
571,昇,133,しょう
572,正幸,133,まさゆき
573,大佑,133,だいすけ
574,智明,133,ともあき
575,宗一郎,132,そういちろう
576,晋平,132,しんぺい
577,正明,132,まさあき
578,雄司,132,ゆうじ
579,雄亮,132,ゆうすけ
580,康成,131,やすなり
581,聡史,131,さとし
582,裕幸,131,ひろゆき
583,雅,130,まさし
584,貴仁,130,たかひと
585,慎一,130,しんいち
586,慎二,130,しんじ
587,貴浩,129,たかひろ
588,貴彦,129,たかひこ
589,崇志,129,たかし
590,智樹,129,ともき
591,佑弥,129,ゆうや
592,健史,128,けんじ
593,孝行,128,こうゆき
594,浩介,128,こうすけ
595,正成,128,まさなり
596,太志,128,たいし
597,卓磨,128,たくま
598,陽太,128,ようた
599,隆弘,128,たかひろ
600,元太,127,げんた
