Rank,Name,Birth_Count
1,이서,"1,715"
2,서아,"1,662"
3,지안,"1,312"
4,아윤,"1,303"
5,지유,"1,292"
6,아린,"1,279"
7,서윤,"1,221"
8,하윤,"1,180"
9,하린,"1,152"
10,지아,"1,098"
11,시아,"1,042"
12,유주,"1,012"
13,채이,871
14,이나,868
15,유나,843
16,예나,842
17,서하,841
18,지우,841
19,수아,833
20,채아,823
21,도아,790
22,윤슬,776
23,이솔,743
24,윤서,739
25,태리,725
26,하은,717
27,리아,670
28,나은,657
29,하율,656
30,채원,650
31,소이,610
32,이현,608
33,재이,598
34,세아,595
35,유하,592
36,서우,571
37,예서,567
38,서연,563
39,예린,557
40,서현,519
41,소율,510
42,채윤,494
43,윤아,487
44,연우,477
45,민서,473
46,로아,461
47,주아,446
48,다은,445
49,서은,441
50,은채,441
51,지윤,439
52,나윤,424
53,다인,421
54,설아,397
55,다윤,394
56,소윤,389
57,아인,384
58,채은,383
59,지율,382
60,해나,379
61,해린,377
62,봄,360
63,시은,358
64,아현,357
65,서율,351
66,단아,348
67,지민,341
68,은서,340
69,유은,339
70,유진,338
71,해인,336
72,지원,335
73,루아,328
74,연서,322
75,하리,321
76,채린,318
77,태린,302
78,이진,297
79,유이,292
80,하나,289
81,소은,274
82,다온,273
83,은하,271
84,사랑,264
85,하연,259
86,유안,256
87,세은,256
88,예은,246
89,아진,244
90,다현,236
91,리안,233
92,하루,232
93,솔,231
94,나연,223
95,태이,220
96,하영,217
97,민채,215
98,다연,210
99,예솔,208
100,별,206
101,예빈,206
102,예진,200
103,예원,199
104,도은,198
105,하랑,198
106,아율,198
107,나율,198
108,설,197
109,이수,196
110,시하,189
111,다미,189
112,시현,188
113,라희,187
114,서빈,186
115,지수,183
116,하온,181
117,하늘,181
118,리나,180
119,윤하,179
120,세린,179
121,소민,178
122,제이,173
123,새봄,169
124,유빈,168
125,예지,164
126,아영,164
127,은유,161
128,민아,159
129,루다,158
130,고은,158
131,이안,157
132,주하,156
133,수빈,154
134,이솜,150
135,시연,149
136,은솔,147
137,로하,145
138,서희,144
139,태은,142
140,서이,142
141,서원,142
142,리원,142
143,루나,141
144,채민,140
145,유민,139
146,승아,139
147,정원,138
148,민하,138
149,율,137
150,해솔,137
151,도이,136
152,현서,135
153,수현,135
154,로희,134
155,세연,133
156,연아,132
157,하엘,131
158,라온,131
159,채빈,131
160,세인,131
161,여름,130
162,소담,128
163,지은,126
164,도연,126
165,지온,126
166,라엘,124
167,다솜,124
168,하빈,122
169,아라,120
170,도희,120
171,하진,118
172,이은,118
173,소희,118
174,가은,117
175,나린,116
176,가을,116
177,하이,115
178,채유,110
179,유리,110
180,보미,110
181,시윤,109
182,아리,107
183,서린,107
184,다빈,107
185,채하,106
186,예온,106
187,로은,106
188,윤,104
189,민지,103
190,서인,103
191,태연,101
192,시온,100
193,설하,100
194,나현,100
195,혜인,99
196,이담,99
197,수연,99
198,서영,99
199,서안,99
200,소예,96
201,은재,96
202,솜,95
203,슬,94
204,루리,93
205,별하,93
206,소미,92
207,라윤,92
208,제나,90
209,태희,90
210,소연,89
211,하임,89
212,해온,87
213,채율,87
214,인아,87
215,아름,87
216,규리,87
217,이엘,86
218,로이,86
219,도하,86
220,우주,85
221,예슬,83
222,지연,83
223,서진,82
224,다율,82
225,지현,81
226,수지,81
227,다희,80
228,이설,80
229,슬아,79
230,리하,79
231,다원,79
232,하니,78
233,해윤,77
234,이봄,77
235,윤지,77
236,서유,77
237,혜린,76
238,한나,76
239,채희,76
240,지효,76
241,혜원,75
242,조이,75
243,미소,75
244,여울,75
245,주은,74
246,세이,74
247,보민,73
248,은율,72
249,유라,72
250,소현,71
251,한별,71
252,제인,71
253,은설,68
254,윤설,68
255,이랑,67
256,유현,67
257,온유,67
258,수민,66
259,유정,66
260,은빈,66
261,유솔,66
262,윤솔,65
263,예주,65
264,예봄,65
265,우리,64
266,이음,63
267,세빈,63
268,은우,63
269,하라,62
270,민주,62
271,해리,61
272,하늬,61
273,선유,61
274,제니,61
275,예리,60
276,다정,60
277,세라,59
278,혜나,59
279,예인,58
280,바다,58
281,가빈,58
282,단,57
283,혜리,57
284,선율,57
285,다나,57
286,하정,56
287,은별,56
288,소유,56
289,라은,56
290,아연,55
291,라율,55
292,가온,55
293,효주,54
294,윤채,54
295,사라,54
296,다경,54
297,가윤,54
298,해이,53
299,하슬,53
300,겨울,52
301,해원,52
302,지호,52
303,겨울,52
304,선아,51
305,다겸,51
306,세하,51
307,유담,50
308,리온,50
309,담이,50
310,이재,50
311,재은,50
312,이레,50
313,채안,49
314,담,48
315,하음,48
316,하람,48
317,주원,48
318,보나,48
319,예림,47
320,세나,47
321,현,46
322,혜윤,46
323,채리,46
324,은비,46
325,아랑,46
326,루비,46
327,재희,46
328,연재,45
329,유아,45
330,수인,45
331,나예,45
332,채연,44
333,진아,44
334,유림,44
335,시율,44
336,시유,44
337,시우,44
338,시안,44
339,소원,44
340,가율,43
341,린,42
342,소영,42
343,안나,42
344,세희,42
345,리윤,42
346,다솔,42
347,여원,41
348,세온,41
349,서온,41
350,민솔,41
351,여원,41
352,은,40
353,하민,40
354,진서,40
355,서정,40
356,다해,39
357,지영,39
358,아림,39
359,나라,39
360,희서,39
361,수안,38
362,다민,38
363,가연,38
364,예담,38
365,희원,37
366,현아,37
367,채온,37
368,재인,37
369,유연,37
370,수진,37
371,샛별,37
372,채영,37
373,다예,37
374,미나,37
375,단하,37
376,혜주,36
377,이주,36
378,아람,36
379,그린,36
380,가영,36
381,가현,36
382,하솔,35
383,나엘,35
384,예안,35
385,민,34
386,채현,34
387,은혜,34
388,선우,34
389,빛나,34
390,레아,34
391,누리,34
392,고운,34
