Rank,Name,Birth_Count
1,이준,"1,847"
2,하준,"1,544"
3,시우,"1,517"
4,도윤,"1,493"
5,은우,"1,450"
6,태오,"1,393"
7,이현,"1,242"
8,서준,"1,231"
9,유준,"1,226"
10,지호,"1,199"
11,선우,"1,187"
12,도현,"1,131"
13,수호,"1,104"
14,이안,"1,093"
15,도하,"1,031"
16,우주,"1,006"
17,연우,990
18,주원,976
19,우진,932
20,로운,895
21,예준,871
22,준우,793
23,지한,793
24,윤우,792
25,민준,791
26,이든,788
27,은호,729
28,도준,709
29,이한,707
30,시윤,641
31,현우,628
32,서우,610
33,유안,602
34,하진,540
35,태이,502
36,지후,499
37,건우,494
38,준서,477
39,유찬,469
40,이도,462
41,하온,461
42,태하,458
43,지안,449
44,지오,431
45,지훈,412
46,서진,402
47,정우,398
48,지우,398
49,시현,377
50,로이,368
51,단우,365
52,율,364
53,우빈,362
54,재이,361
55,아준,351
56,도영,350
57,재윤,345
58,다온,344
59,도진,341
60,한결,341
61,하민,339
62,태윤,330
63,도율,324
64,시온,318
65,주안,315
66,재하,311
67,주호,299
68,서호,297
69,은찬,293
70,연준,290
71,유현,288
72,라온,286
73,승우,279
74,수현,279
75,하랑,278
76,윤재,274
77,시안,274
78,정후,269
79,지민,266
80,준,260
81,이찬,260
82,도훈,257
83,도겸,255
84,지율,251
85,하율,247
86,시호,244
87,하루,242
88,시후,233
89,윤호,231
90,로건,231
91,진우,230
92,해솔,220
93,이진,220
94,선호,220
95,하늘,219
96,지원,216
97,하성,214
98,유건,213
99,서하,212
100,민재,210
101,리안,209
102,이수,208
103,현,207
104,해준,200
105,도건,199
106,윤,195
107,우재,195
108,시원,193
109,준호,190
110,서원,188
111,민우,185
112,정원,182
113,태율,181
114,은율,177
115,인우,175
116,하람,174
117,시율,171
118,민찬,170
119,이재,168
120,유진,168
121,건,167
122,이담,167
123,지운,165
124,도원,163
125,윤성,162
126,리한,153
127,민호,152
128,온유,150
129,태양,147
130,선율,146
131,유민,144
132,도운,140
133,서율,137
134,산,136
135,유하,134
136,서후,133
137,노아,133
138,규민,133
139,강민,131
140,하빈,131
141,지환,130
142,로하,128
143,서한,127
144,태준,125
145,지혁,125
146,지온,123
147,승현,123
148,결,122
149,리호,122
150,미르,121
151,시환,120
152,태민,119
153,원우,119
154,서빈,119
155,해인,119
156,강준,119
157,강,116
158,찬,116
159,현준,116
160,윤찬,116
161,도경,114
162,민성,113
163,리온,112
164,지완,109
165,윤후,109
166,준희,107
167,성빈,106
168,은성,105
169,신우,105
170,강우,104
171,우현,104
172,우준,102
173,정민,101
174,세현,101
175,재현,99
176,수혁,99
177,재원,98
178,연호,98
179,규빈,98
180,태인,97
181,이건,97
182,로한,97
183,건율,97
184,리우,96
185,재민,94
186,시하,93
187,지성,91
188,재준,90
189,해온,90
190,강현,89
191,채민,86
192,예찬,86
193,주한,86
194,승빈,86
195,진서,85
196,유담,85
197,시훈,84
198,성준,84
199,단,83
200,은재,83
201,가온,82
202,한율,81
203,선재,80
204,아인,79
205,건호,77
206,정현,76
207,다원,76
208,해든,75
209,서안,75
210,하겸,75
211,여준,75
212,성민,75
213,원,74
214,루이,74
215,동하,73
216,주영,72
217,세준,72
218,호연,71
219,찬영,70
220,찬율,70
221,채우,70
222,민건,70
223,준혁,70
224,재율,69
225,재희,69
226,지용,68
227,유겸,68
228,시완,68
229,희찬,67
230,도,66
231,현서,66
232,이솔,66
233,태호,65
234,승준,65
235,준범,64
236,한솔,64
237,우찬,64
238,리오,64
239,도빈,64
240,담,63
241,예성,63
242,주완,63
243,범준,63
244,준수,62
245,하윤,62
246,성윤,62
247,로윤,62
248,준영,61
249,이환,61
250,민규,61
251,태경,59
252,유신,59
253,우성,59
254,승후,59
255,승유,59
256,한별,58
257,하담,58
258,은후,58
259,승호,58
260,원준,58
261,바다,58
262,도한,57
263,승윤,56
264,은준,56
265,도담,56
266,가람,56
267,효준,55
268,이룬,55
269,승민,55
270,서윤,55
271,준후,54
272,현호,53
273,이헌,53
274,채운,53
275,태우,53
276,유성,53
277,하운,52
278,찬희,52
279,영준,52
280,태온,51
281,정훈,51
282,우혁,51
283,서로,51
284,민율,51
285,태건,50
286,태현,50
287,인호,50
288,유호,50
289,이강,50
290,승찬,50
291,민결,50
292,레오,50
293,강인,50
294,이로,49
295,현진,49
296,민서,49
297,강윤,49
298,채호,48
299,제하,48
300,제이,48
301,호진,48
302,한울,48
303,제하,48
304,민,47
305,이원,47
306,이레,47
307,윤슬,47
